"Kolièina doma porabljenih živil in pijaè na èlana gospodinjstva, letno povpreèje, Slovenija, veèletno"

"ŽIVILA / PIJAÈE","2000 Skupaj","2001 Skupaj","2002 Skupaj","2003 Skupaj","2004 Skupaj","2005 Skupaj","2006 Skupaj","2007 Skupaj","2008 Skupaj","2009 Skupaj","2010 Skupaj","2012 Skupaj","2015 Skupaj","2018 Skupaj"
"Riž [kg]",3.8,3.9,3.7,3.5,3.1,3.0,3.0,3.0,2.9,2.5,2.4,2.6,2.3,2.3
"Kruh in drugi pekovski izdelki [kg]",64.1,60.7,56.8,52.8,50.0,46.1,42.3,39.0,38.6,37.9,38.6,34.2,27.5,26.9
"Èajno pecivo, piškoti sladki in slani [kg]",5.3,5.4,5.5,5.8,6.1,6.4,6.5,6.5,6.6,6.4,6.7,6.6,6.6,6.8
"Testenine in kuskus [kg]",6.6,6.6,6.5,6.6,6.4,6.7,6.5,6.5,6.2,5.9,6.7,6.4,5.8,6.7
"Moka vseh vrst, kosmièi in zdrob [kg]",27.0,24.9,23.6,23.8,21.8,19.6,18.2,17.8,18.2,16.5,16.2,17.4,11.9,12.1
"Goveje meso (sveže in zamrznjeno) [kg]",14.0,11.6,10.5,10.2,10.3,10.3,10.0,10.0,9.4,8.7,8.4,6.0,5.0,5.8
"Svinjsko (sveže in zamrznjeno) [kg]",14.1,14.3,13.5,11.0,11.3,11.0,11.3,10.8,10.6,10.0,9.3,9.7,8.5,7.4
"Perutnina (sveža in zamrznjena) [kg]",10.8,10.9,10.5,10.3,9.7,9.6,9.2,9.6,10.2,9.9,10.1,10.0,9.7,9.8
"Delikatese (posušeno, soljeno, dimljeno meso) [kg]",12.5,12.5,12.1,11.9,11.8,11.7,11.8,11.5,11.5,11.1,11.6,14.2,12.6,12.8
"Ribe (sveže in zamrznjene) [kg]",2.0,2.0,2.1,2.0,1.9,1.8,1.6,1.4,1.4,1.4,1.6,1.5,1.7,1.1
"Mleko, polmastno in lahko [liter]",79.4,78.4,76.4,74.6,73.4,69.9,65.6,65.4,66.1,64.5,63.1,54.1,46.8,43.0
"Jogurt [kg]",12.2,12.4,12.7,13.6,14.4,15.2,15.2,15.8,16.6,15.9,16.4,15.9,12.4,12.6
"Sir in skuta [kg]",8.5,8.3,8.4,9.0,9.2,9.5,9.3,9.2,9.3,9.4,9.6,9.2,8.5,9.0
"Smetana (sladka in kisla) [kg]",3.5,3.5,3.5,3.7,3.8,3.8,3.7,3.9,4.3,4.4,4.6,4.5,4.3,4.6
"Drugi mleèni izdelki (mleène sladice, mleèni napitki, puding...) [kg]",0.9,0.8,0.8,1.0,1.5,1.7,1.9,1.9,2.3,3.5,3.5,3.6,3.9,5.4
"Jajca [kos]",145.7,136.5,126.0,112.7,109.2,102.2,97.7,93.7,100.2,100.7,101.6,87.7,80.2,80.3
"Maslo [kg]",0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,1.0,1.0,1.1,1.4,1.4,1.6
"Margarina in druge rastlinske mašèobe [kg]",2.3,2.3,2.2,2.2,2.2,2.2,2.0,1.9,2.1,1.9,1.7,1.4,1.1,0.9
"Jedilno olje [liter]",14.1,14.2,13.5,12.3,11.6,11.2,10.7,10.4,10.3,9.8,9.2,10.5,8.9,7.4
"Druge jedilne živalske mašèobe [kg]",1.6,1.7,1.6,1.4,1.1,1.0,1.0,1.0,1.0,0.9,0.7,0.8,0.7,0.6
"Agrumi [kg]",12.7,13.1,13.4,14.2,14.8,15.2,14.9,15.2,15.5,15.9,15.7,13.9,13.9,11.7
"Banane [kg]",9.4,10.3,11.2,11.5,10.8,10.2,10.2,10.7,10.9,11.0,11.2,9.4,12.4,12.1
"Jabolka [kg]",22.1,22.0,21.1,20.0,19.5,18.5,17.0,16.9,17.8,18.5,18.2,15.7,13.6,11.7
"Hruške [kg]",2.5,2.3,2.3,2.2,2.4,2.6,2.8,2.9,2.8,2.6,2.6,3.1,2.4,2.2
"Slive [kg]",1.2,1.2,1.2,1.2,1.2,1.1,1.0,1.1,1.1,1.1,1.4,1.1,0.9,1.4
"Marelice in breskve [kg]",3.4,3.7,3.6,3.3,3.3,3.2,2.9,2.5,2.6,2.8,2.8,2.2,2.5,2.0
"Grozdje [kg]",4.8,4.7,4.1,5.0,5.9,6.6,5.4,4.4,4.4,4.0,4.2,3.5,2.7,2.8
"Zelena solata [kg]",11.0,10.4,10.0,9.6,9.3,9.3,9.0,9.0,9.4,10.3,10.7,8.3,7.4,7.2
"Zelje in ohrovt [kg]",7.8,6.3,5.7,6.1,6.3,6.0,5.4,5.0,4.9,4.6,4.6,6.7,5.3,4.4
"Paradižnik [kg]",7.0,7.6,7.9,7.8,7.9,8.2,8.1,8.3,8.3,8.5,8.2,7.8,7.8,8.3
"Grah in stroèji fižol - sveža [kg]",2.1,2.1,2.0,1.8,1.7,1.7,1.7,1.7,1.6,1.7,1.7,1.3,1.4,1.2
"Paprika [kg]",3.8,3.6,3.5,3.6,3.5,3.6,3.7,3.6,3.7,3.5,3.8,3.4,3.7,3.7
"Korenje [kg]",2.8,2.7,2.8,2.7,2.7,2.8,2.9,3.0,3.3,3.4,3.5,3.3,3.5,3.5
"Èesen in èebula [kg]",7.8,7.1,7.0,7.4,7.5,7.4,7.0,7.2,7.5,7.6,7.4,6.7,6.5,6.4
"Fižol, suh grah, bob in leèa [kg]",2.4,2.0,1.8,1.7,1.7,1.7,1.5,1.4,1.4,1.4,1.3,1.0,1.3,0.8
"Konzervirana in predelana zelenjava [kg]",6.0,6.5,6.9,7.2,7.8,8.5,8.7,8.6,8.5,8.5,9.2,8.8,8.5,9.2
"Krompir [kg]",48.3,41.7,35.9,36.4,37.9,38.3,33.4,30.1,31.8,30.5,30.4,25.1,21.3,21.1
"Sladkor [kg]",14.7,14.2,13.7,13.4,12.4,10.9,10.1,10.0,10.6,9.9,9.8,8.0,7.0,6.4
"Marmelada in džem [kg]",1.1,1.0,0.9,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.8,0.7,0.6,0.5
"Med [kg]",0.6,0.7,0.7,0.6,0.5,0.4,0.6,0.8,0.8,0.8,0.6,0.5,0.4,0.5
"Èokolada [kg]",2.7,3.1,3.4,3.6,3.9,4.1,4.0,3.9,3.9,3.7,3.8,5.4,4.1,4.5
"Sladoled [liter]",2.3,2.6,3.0,3.2,3.2,2.8,3.0,3.3,3.9,4.0,4.0,4.4,3.6,3.9
"Kava, prava in nadomestki [kg]",3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.5,3.1,3.0
"Kakav [kg]",0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
"Mineralna ali izvirska voda [liter]",30.6,33.2,35.0,36.8,37.6,39.5,41.8,45.4,46.1,42.0,39.0,38.2,34.8,32.0
"Brezalkoholne pijaèe (gazirane pijaèe, ledeni èaj, energetski napitki,...) [liter]",30.9,29.3,29.4,29.1,31.9,35.6,38.5,39.3,37.6,35.9,36.7,29.4,23.4,24.0
"Sadni sokovi [liter]",28.2,31.1,33.5,33.0,30.4,26.2,23.0,21.3,21.5,22.4,22.4,21.6,13.2,16.5
"Sadni sirup [liter]",4.1,3.8,3.6,3.1,2.9,2.6,2.6,2.4,2.3,2.3,2.4,2.0,2.2,1.4
"Žgane pijaèe (viski, liker, konjak, vodka, rum...) [liter]",0.6,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.0,0.9,1.1
"Vino [liter]",25.7,24.0,21.6,19.9,19.0,16.9,15.8,13.9,14.2,13.1,13.7,10.9,7.8,8.5
"Pivo (tudi brezalkoholno) [liter]",23.9,21.6,20.2,20.2,22.0,23.3,25.1,26.4,27.2,25.6,27.3,26.4,26.4,26.4
