"","leto","pridelek","potrosnja"
"1",2000,"jajca",21620000
"2",2002,"jajca",19220000
"3",2015,"jajca",22260000
"4",2008,"jajca",20060000
"5",2012,"jajca",18160000
"6",2016,"jajca",21340000
"7",2006,"jajca",14060000
"8",2001,"jajca",20200000
"9",2003,"jajca",13700000
"10",2007,"jajca",17820000
"11",2009,"jajca",20460000
"12",2013,"jajca",20540000
"13",2017,"jajca",23040000
"14",2019,"jajca",23320000
"15",2014,"jajca",19560000
"16",2004,"jajca",12460000
"17",2020,"jajca",20760000
"18",2010,"jajca",20300000
"19",2005,"jajca",13020000
"20",2018,"jajca",21700000
"21",2011,"jajca",20240000
"22",2001,"krompir",159140000
"23",2000,"krompir",180300000
"24",2007,"krompir",162700000
"25",2006,"krompir",157800000
"26",2011,"krompir",132860000
"27",2015,"krompir",136640000
"28",2017,"krompir",1.36e+08
"29",2002,"krompir",159680000
"30",2004,"krompir",151540000
"31",2008,"krompir",154980000
"32",2010,"krompir",140620000
"33",2012,"krompir",126540000
"34",2016,"krompir",137020000
"35",2018,"krompir",132980000
"36",2003,"krompir",144900000
"37",2005,"krompir",153640000
"38",2009,"krompir",1.44e+08
"39",2014,"krompir",124740000
"40",2013,"krompir",119160000
"41",2020,"krompir",127440000
"42",2019,"krompir",123940000
"43",2001,"med",2440000
"44",2000,"med",2080000
"45",2005,"med",2200000
"46",2009,"med",2200000
"47",2011,"med",2820000
"48",2015,"med",2820000
"49",2017,"med",1740000
"50",2002,"med",2340000
"51",2004,"med",2300000
"52",2006,"med",2760000
"53",2010,"med",2200000
"54",2012,"med",1960000
"55",2016,"med",2140000
"56",2018,"med",2140000
"57",2003,"med",1900000
"58",2008,"med",1920000
"59",2007,"med",1880000
"60",2014,"med",2280000
"61",2013,"med",2840000
"62",2020,"med",1840000
"63",2019,"med",1400000
"64",2001,"meso",186080000
"65",2000,"meso",177020000
"66",2007,"meso",189320000
"67",2006,"meso",188420000
"68",2013,"meso",164480000
"69",2012,"meso",176300000
"70",2017,"meso",186160000
"71",2002,"meso",175980000
"72",2004,"meso",197160000
"73",2008,"meso",193280000
"74",2010,"meso",187400000
"75",2014,"meso",169980000
"76",2016,"meso",188440000
"77",2018,"meso",185200000
"78",2003,"meso",198340000
"79",2005,"meso",194600000
"80",2009,"meso",188280000
"81",2011,"meso",179060000
"82",2015,"meso",176620000
"83",2020,"meso",175860000
"84",2019,"meso",181540000
"85",2009,"zelenjava",206480000
"86",2002,"zelenjava",157400000
"87",2015,"zelenjava",219760000
"88",2010,"zelenjava",183620000
"89",2000,"zelenjava",157080000
"90",2016,"zelenjava",226820000
"91",2006,"zelenjava",191140000
"92",2001,"zelenjava",146780000
"93",2003,"zelenjava",163040000
"94",2007,"zelenjava",180580000
"95",2011,"zelenjava",194180000
"96",2013,"zelenjava",192840000
"97",2017,"zelenjava",227940000
"98",2019,"zelenjava",235080000
"99",2014,"zelenjava",207840000
"100",2004,"zelenjava",177940000
"101",2008,"zelenjava",201940000
"102",2012,"zelenjava",190660000
"103",2005,"zelenjava",182520000
"104",2018,"zelenjava",222820000
"105",2020,"zelenjava",237780000
