"Prodaja kmetijskih pridelkov iz lastne pridelave na živilskih trgih, Slovenija, letno"

"KMETIJSKI PRIDELEK"	"2000 Kolièina"	"2001 Kolièina"	"2002 Kolièina"	"2003 Kolièina"	"2004 Kolièina"	"2005 Kolièina"	"2006 Kolièina"	"2007 Kolièina"	"2008 Kolièina"	"2009 Kolièina"	"2010 Kolièina"	"2011 Kolièina"	"2012 Kolièina"	"2013 Kolièina"	"2014 Kolièina"	"2015 Kolièina"	"2016 Kolièina"	"2017 Kolièina"	"2018 Kolièina"	"2019 Kolièina"	"2020 Kolièina"
"Krompir, jedilni (zgodnji in pozni) (kg)"	1300240	1383015	1114680	934246	903689	855809	783974	979309	998312	878824	802210	759661	654640	503556	392616	358455	417135	426210	426602	458720	411341
"Fižol, v zrnju (kg)"	163009	154736	112316	75149	75093	76228	86579	91708	76382	136450	84814	64413	69984	46181	56599	72034	73019	65801	30073	29177	78209
"Fižol, stroèji (kg)"	75983	78427	126026	84819	78783	64230	67106	74969	71985	84271	71578	66424	36139	37995	40497	54115	59526	60178	36284	37837	69703
"Grah, stroèji (kg)"	27522	22656	21385	6962	11112	19624	5870	14890	5671	16183	20932	18620	12282	15026	15597	9776	8021	7724	8433	7752	6578
"Èebula (kg)"	444095	401323	313779	270486	291218	291788	307040	287062	393838	339371	316352	280869	235506	219393	151142	155257	198593	206602	179143	209360	197841
"Èesen (kg)"	150751	126688	91309	79617	88370	80642	78388	90899	99150	81206	84132	65584	74305	139237	61737	72817	77675	74381	40999	36870	76595
"Por (kg)"	-	-	-	33207	43308	64778	76611	100726	79699	77089	81059	84134	71102	92415	88580	101805	110560	110650	74780	84496	114465
"Belo zelje (kg)"	404710	469463	339854	255012	216989	259696	267421	277202	286949	216652	181359	150132	129252	126934	127958	128647	133037	134585	153767	170363	172970
"Rdeèe zelje (kg)"	-	-	-	-	-	-	-	-	-	-	-	36769	30685	38737	40133	45885	51995	47905	25405	30227	50186
"Kitajski kapus (kg)"	-	-	-	6529	13329	18264	28645	23266	16358	27715	20495	13591	11925	5330	560	4720	5410	5060	6440	7205	6896
"Ohrovt (kg)"	139397	148662	120184	81809	77553	90577	89522	110419	79464	64403	61773	68280	61030	70399	76573	95272	106702	101005	79394	100781	106357
"Cvetaèa in brokoli (kg)"	184705	177228	142724	106750	110450	125550	143326	187256	154592	87861	93356	89317	93261	99265	107853	127778	141574	149809	147546	145481	142329
"Korenèek (kg)"	278242	268959	202691	163068	164777	190476	193058	185607	192518	164197	165778	116209	111847	115135	112995	138020	141455	142508	157586	157816	139516
"Paradižnik (kg)"	263534	238616	192653	153020	133871	150058	164551	210886	199758	224580	174979	137038	116907	128169	136365	149953	176197	177352	175305	177911	179300
"Paprika (kg)"	168695	166722	140488	104097	79514	97889	108397	118833	128279	132786	126890	106836	89595	96202	87023	110092	103899	94037	69521	72931	102692
"Jajèevec (kg)"	65891	75956	60686	47506	33844	52618	51735	69597	58352	51013	54653	53750	44970	49075	53034	66645	66505	68160	42990	42195	63942
"Špinaèa (kg)"	104220	101038	71335	59341	64337	70755	75967	71869	74401	72128	66854	58643	53507	64284	58356	62888	73473	74292	34572	34198	73055
"Zelena solata (kg)"	1058120	876584	636002	408653	462232	636398	529106	762544	747076	541885	504959	306889	306746	306945	283800	275678	317916	321344	303345	306315	299992
"Endivija (kg)"	-	-	-	-	-	-	-	-	-	-	-	103021	136196	33595	120160	115390	139070	156675	177720	206630	153597
"Radiè, vse vrste (kg)"	-	118681	130609	120475	126050	141840	184865	276329	223807	140317	165084	158086	151065	131217	146755	162691	167826	177030	172860	173080	173941
"Motovilec (kg)"	-	24324	22973	19901	20474	28830	40848	43236	35789	38658	37670	36288	34847	22212	46859	59981	74561	74095	53852	50630	75844
"Kumare, solatne (kg)"	186111	159854	123468	79138	59758	87524	93385	193103	98128	85878	89557	72825	60639	55083	82198	107544	123148	123871	151578	151160	121544
"Kumare, za vlaganje (kg)"	-	-	-	35404	38110	35845	32748	38250	39360	17425	20373	16000	20370	10950	17401	13365	13850	16688	20090	18385	9976
"Buèke (kg)"	75802	75482	65518	47023	42371	67146	73230	84173	72099	60981	55289	61744	44997	57457	58212	59315	75835	79410	61255	58535	77274
"Rdeèa pesa (kg)"	101708	108870	94042	55541	68940	91852	100919	106063	97361	75150	87093	73255	66488	67331	59632	70987	88109	91925	93123	95059	91029
"Lubenice in dinje (kg)"	125829	93884	43386	179079	169450	162533	63050	87880	37907	52748	91690	57626	40605	56700	32585	26385	29020	36110	52870	66345	31446
"Šparglji in beluši (kg)"	-	-	-	-	-	-	-	-	-	-	-	11368	10580	6502	10004	7900	8995	8560	9190	9475	9315
"Sveže slive in èešplje (kg)"	66767	93696	39801	40539	36913	21530	51110	54710	28586	57172	59658	30375	36751	38500	26590	27639	25186	23443	25770	24435	27331
"Suhe slive (kg)"	25720	24345	9665	9300	6123	2090	7107	1721	7114	13272	19491	11110	13341	10549	5386	18355	15993	15009	15961	14971	14971
"Namizna jabolka (kg)"	982505	961812	770507	754468	720898	687457	691738	784003	805490	670738	544971	380309	411029	399580	237545	243843	262331	223750	203018	203535	272530
"Hruške (kg)"	208112	155145	111012	101630	107491	89450	100916	152433	137100	103549	118216	85740	64290	80800	71137	95627	115538	104016	87034	78974	124302
"Èešnje (kg)"	102490	110900	136660	65410	86130	55561	67485	100950	81132	86681	72904	62378	33735	49675	63865	58000	65581	67547	66475	60005	72725
"Višnje (kg)"	15282	11519	8360	3373	6330	6685	2293	4374	5199	10201	11247	7290	2370	530	845	1625	1000	988	1830	1500	934
"Marelice (kg)"	60969	47028	47569	29379	42006	34991	39840	69886	41450	59254	84080	43078	30135	32075	25945	25465	36360	37855	41010	35245	36700
"Breskve in nektarine (kg)"	202093	170750	149132	136246	120780	142055	95564	130158	147027	106351	131465	93712	76665	79250	62420	68060	65065	65610	67680	70655	66216
"Celi orehi (kg)"	6490	8559	5661	8415	7635	10941	13738	11730	14315	19080	17571	19492	20651	15455	24334	18182	14934	14093	15165	14049	14964
"Orehova jedrca (kg)"	36712	51468	50848	58925	56918	45358	41832	30423	42254	42176	44272	41324	48532	62077	46360	57390	57053	52024	36144	33109	57286
"Celi lešniki in mandlji (kg)"	900	15	993	68	785	250	3935	6190	8230	190	50	100	155	247	230	1268	1263	1301	1144	1115	10125
"Lešnikova in mandljeva jedrca (kg)"	205	60	34	30	273	110	476	900	2366	943	32	65	100	100	110	1247	1146	1267	1031	985	10016
"Kostanj (kg)"	70518	59746	48697	47593	25430	16059	25159	30828	25529	35523	33386	47315	25455	33110	39411	46920	60275	63725	57760	45170	57297
"Jagode (kg)"	82216	95749	116259	66772	83996	74920	54501	102303	109470	59413	103255	75603	57605	53766	82957	78841	83865	85892	77654	82596	86884
"Maline (kg)"	8964	8285	7194	3556	7185	4382	6023	11289	11344	8220	16287	13617	12939	12499	12227	9504	10775	9995	8687	10036	11447
"Ameriške borovnice (kg)"	-	5850	11220	11568	18806	16376	15056	19635	24680	18476	19937	16207	9214	10640	10255	6250	6605	7480	5985	4550	5700
"Sveže fige (kg)"	48860	49980	31347	21368	18070	40643	35996	8254	20825	21128	41841	22424	18931	24295	27021	15825	41060	43320	34200	31166	40585
"Suhe fige (kg)"	3265	2915	4670	1020	238	1410	693	186	7000	10971	12222	3838	1846	1840	1684	16105	14246	12446	14389	13079	15504
"Kaki (kg)"	-	-	-	-	-	-	-	-	-	-	-	37476	32025	50605	36212	55580	68105	73148	79300	83130	82761
"Grozdje (kg)"	65770	78145	55634	54367	44889	16142	69564	27723	40369	66968	46861	61467	31784	42968	49043	58906	91305	89449	87299	91365	93467
"Kokoši in pišèanci, meso (nerazkošèièeno) (kg)"	331855	319402	295171	262421	256290	259065	170840	135360	170502	128780	210960	215990	197730	209305	212585	41240	41685	47420	57200	63950	61832
"Purani, meso (nerazkošèièeno) (kg)"	55575	62527	67877	61439	57420	79735	42636	29415	16367	25462	2000	-	4300	4700	2800	14795	11325	11140	13325	15500	12325
"Jajca, konzumna (kos)"	5183818	4584090	4097830	3067385	3085300	2950320	3256800	3439832	3642348	2027856	1868320	1576280	2418340	2150630	2223252	907195	822290	731480	787570	780010	693271
"Sveže mleko (l)"	3689	2493	1081	439	970	2066	3595	3595	2220	6980	26300	29955	28060	37340	30630	51310	49575	53360	67530	65280	44836
"Surovo maslo (kg)"	14244	18232	20427	17919	16172	10266	10607	15743	13267	15280	13390	14259	14146	11199	12281	21726	18220	7481	6471	7045	10583
"Kajmak (kg)"	36914	36843	31511	26103	22981	21132	20889	36813	21781	19155	15665	14930	14740	12282	13246	16421	14211	11041	11251	8997	13733
"Siri vseh vrst (kg)"	68205	57182	48395	33844	36297	58255	35410	49355	37119	28674	41782	30137	53663	53896	52179	46269	57845	61275	68145	60955	59354
"Smetana (kg)"	57383	61804	57854	45161	35905	43374	31621	48585	33435	28410	28400	30235	25657	25461	22082	22168	21395	19570	18965	18008	20442
"Oljèno olje (l)"	4515	6815	7050	7765	3000	7310	2910	1020	700	815	840	1530	1770	1660	1705	11525	11390	10595	22420	28220	11888
"Kislo zelje (kg)"	466317	455681	334175	260372	311096	324446	297304	400427	346246	356379	251664	224493	190500	123285	135395	122201	135122	146938	189845	200976	141923
"Kisla repa (kg)"	210851	204743	153043	115479	143433	176655	177470	222779	169164	183881	133850	120114	99116	80298	77335	95235	104067	92506	77031	82302	113352
"Sveže gobe (kg)"	7441	11001	6363	5788	7307	6723	2464	9300	7336	15199	3286	10033	9033	8985	4958	13155	4132	4991	9861	9771	4280
"Med (kg)"	38346	41883	39500	46204	57751	41835	51393	46591	69867	84088	137445	130796	86633	60811	49982	52215	60015	62350	60759	56299	62579
"Pšenièna moka (kg)"	39297	29130	27810	19300	17170	36868	45271	41971	23817	17599	14936	15670	12450	18676	13959	8576	9155	9190	15515	17430	9229
"Koruzna moka (kg)"	30072	31265	25045	17438	15823	32784	36902	34293	22130	17449	14901	16172	12745	18195	13679	9035	9765	10180	14965	15290	9740
