"","regija","leto","skupno.stevilo.zemljisc","skupno.stevilo.zivine","zivina.na.ha"
"1","slo",2005,1555046,4861999,3.12659496889481
"2","lj",2016,194543,926481,4.76234559968747
"3","kk",2013,81956,158259,1.93102396407829
"4","sg",2010,81636,309116,3.78651575285413
"5","mb",2007,239405,2076948,8.67545790605877
"6","mb",2005,236828,1372508,5.7953789247893
"7","kr",2013,125206,161280,1.28811718288261
"8","kp",2007,49421,14295,0.289249509317901
"9","sg",2007,75812,62137,0.819619585289928
"10","mb",2013,238658,2049955,8.58950883691307
"11","ce",2016,204388,1068983,5.23016517603773
"12","za",2016,34103,79364,2.32718529161657
"13","kk",2016,92971,195292,2.10056899463273
"14","po",2010,69840,110177,1.57756300114548
"15","ng",2007,101307,250564,2.47331378878064
"16","ce",2007,214243,1006097,4.69605541371247
"17","mb",2010,237896,2556895,10.7479528869758
"18","kk",2010,81432,144868,1.77900579624718
"19","kk",2007,85011,147988,1.74081001282187
"20","kk",2005,87893,172083,1.95786922735599
"21","kr",2003,122334,165006,1.34881553778998
"22","lj",2003,212643,210014,0.98763655516523
"23","sg",2016,79794,350683,4.39485424969296
"24","kr",2005,124402,103841,0.834721306731403
"25","mb",2003,241296,2068778,8.57361083482528
"26","kk",2003,85288,197502,2.31570678172779
"27","nm",2003,162065,301490,1.86030296485978
"28","po",2007,67653,1130787,16.7145137687907
"29","kr",2007,126315,162016,1.28263468313344
"30","za",2007,20243,11177,0.55214148100578
"31","po",2005,63753,343554,5.38882876099948
"32","nm",2010,159449,262299,1.64503383527021
"33","kp",2003,32022,66624,2.08056960839423
"34","ms",2010,189105,710847,3.75900690092806
"35","slo",2003,1559502,6841437,4.38693698372942
"36","ce",2010,216762,1008440,4.65229145329901
"37","po",2003,61870,23399,0.378196217876192
"38","ng",2010,94796,198423,2.09315793915355
"39","slo",2010,1520516,6372181,4.19080167522078
"40","nm",2007,159350,270447,1.69718857860056
"41","mb",2016,233964,2558328,10.9347079037801
"42","ng",2005,90067,231035,2.56514594690619
"43","lj",2013,205594,805358,3.91722521085246
"44","lj",2010,209220,825659,3.94636746008986
"45","lj",2007,214906,696401,3.24049119149768
"46","ms",2003,189834,687408,3.6211005404722
"47","za",2010,21639,57536,2.65890290678867
"48","ce",2005,223022,733440,3.28864416963349
"49","za",2005,22254,16256,0.730475420149187
"50","nm",2016,162955,268699,1.64891534472707
"51","lj",2005,214499,596245,2.77970992871762
"52","nm",2005,171868,244903,1.4249482160728
"53","ce",2013,205737,1087753,5.28710440999917
"54","ms",2005,189175,654406,3.45926258755121
"55","kr",2016,121554,198488,1.63292034815802
"56","slo",2013,1522663,6193969,4.06785283414649
"57","ce",2003,223136,198837,0.891102287394235
"58","kr",2010,121496,146778,1.20808915519853
"59","ng",2003,101994,45446,0.445575229915485
"60","ms",2007,192794,810994,4.20653132358891
"61","ms",2013,201717,808439,4.00778813882816
"62","kp",2010,37248,41143,1.10456937285223
"63","kp",2013,43424,182714,4.2076731761238
"64","po",2013,65076,129896,1.99606613805397
"65","sg",2005,80597,65166,0.808541260840974
"66","za",2013,18381,70305,3.82487351069039
"67","ng",2016,94970,246527,2.595840791829
"68","ms",2016,203044,1106053,5.44735623805678
"69","nm",2013,161290,236258,1.46480252960506
"70","sg",2013,79910,261923,3.27772494055813
"71","slo",2007,1560054,7004473,4.48989137555495
"72","sg",2003,83705,214984,2.56835314497342
"73","ng",2013,92618,198664,2.14498261676996
"74","slo",2016,1527985,7593664,4.96972417922951
"75","kp",2016,39484,209106,5.29596798703272
"76","po",2016,65434,36980,0.565149616407372
"77","kp",2005,11958,23190,1.93928750627195
