"Skupna in kmetijska zemljišèa kmetijskih gospodarstev, Slovenija, veèletno"

"RABA ZEMLJIŠÈ","Površina [ha] 2000","Površina [ha] 2003","Površina [ha] 2005","Površina [ha] 2007","Površina [ha] 2010","Površina [ha] 2013","Površina [ha] 2016"
"Vsa zemljišèa - SKUPAJ",950269,926821,921312,921226,897769,893431,897650
"Kmetijska zemljišèa - skupaj",537249,526247,526660,524167,507091,499414,494641
"Kmetijska zemljišèa v uporabi - skupaj",485879,486473,485432,488774,474432,477023,479589
"Njive, drevesnice, trsnice in matiènjaki",170804,172316,176158,174932,170506,174041,176807
"Njive",170571,172144,175864,174709,170144,173697,176518
"Drevesnice, trsnice in matiènjaki",233,172,294,224,362,344,288
"Sadovnjaki in oljèniki, skupaj",13062,12038,10727,9535,10082,10700,11297
"Intenzivni sadovnjaki in oljèniki, skupaj",5249,5389,5134,4555,...,...,...
"Ektenzivni sadovnjaki in oljèniki, skupaj",7813,6649,5593,4979,...,...,...
"Intenzivni sadovnjaki",...,...,...,...,3900,3765,3856
"Ektenzivni sadovnjaki",...,...,...,...,5290,6030,6405
"Oljèniki",...,...,...,...,892,905,1037
"Vinogradi",16603,16556,16428,16085,16351,16234,15241
"Trajni travniki in pašniki",285410,285562,282119,288222,277492,276047,276244
"Kmetijska zemljišèa v zarašèanju in neobdelana kmetijska zemljišèa",...,...,...,...,...,...,15052
"Kmetijska zemljišèa v zarašèanju - neobdelana",46639,38021,38524,33083,29923,17726,...
"Druga neobdelana kmetijska zemljišèa",4731,1753,2705,2309,2736,4665,...
"Gozd",394701,385934,376741,377768,373629,375504,387868
"Nerodovitno",18320,14640,17911,19292,17049,18513,15142
